taxonID,locationID,locality,countryCode,occurrenceStatus,establishmentMeans,source,occurrenceRemarks
1299,ISO3166-2:US-MI,Michigan,US,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1306,ISO3166-2:MX-AGU,Aguascalientes,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1307,ISO3166-2:MX-AGU,Aguascalientes,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1308,ISO3166-2:MX-PUE,Puebla,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1309,ISO3166-2:MX-HID,Hidalgo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1309,ISO3166-2:MX-JAL,Jalisco,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1309,ISO3166-2:MX-MOR,Morelos,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1309,ISO3166-2:MX-PUE,Puebla,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1310,ISO3166-2:MX-CMX,Ciudad de México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1310,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1310,ISO3166-2:MX-VER,Veracruz de Ignacio de la Llave,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1311,ISO3166-2:MX-QUE,Querétaro,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1311,ISO3166-2:MX-ZAC,Zacatecas,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1312,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1312,ISO3166-2:MX-MIC,Michoacán de Ocampo,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1314,ISO3166-2:MX-OAX,Oaxaca,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1315,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1315,ISO3166-2:MX-TLA,Tlaxcala,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1316,ISO3166-2:MX-MEX,México,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1317,ISO3166-2:MX-GUA,Guanajuato,MX,present,native,https://doi.org/10.11646/zootaxa.4906.1.1,
1183,ISO3166-2:US-ND,North Dakota,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-CO,Colorado,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-NM,New Mexico,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-UT,Utah,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-WA,Washington,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-OR,Oregon,US,present,native,https://doi.org/10.5962/bhl.title.5074,
1183,ISO3166-2:US-CA,California,US,present,native,https://doi.org/10.5962/bhl.title.5074,
